rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,avg,sleeper_id
1,Jahmyr Gibbs,22968,jahmyr-gibbs,DET,6,RB,1,1.3,9221
2,Bijan Robinson,23133,bijan-robinson,ATL,11,RB,2,1.7,9509
3,Ja'Marr Chase,19788,jamarr-chase,CIN,6,WR,1,3.0,7564
4,Puka Nacua,23180,puka-nacua,LAR,11,WR,2,4.0,9493
5,Jaxon Smith-Njigba,23070,jaxon-smith-njigba,SEA,11,WR,3,5.3,9488
6,Christian McCaffrey,16393,christian-mccaffrey,SF,8,RB,3,6.0,4034
7,Jonathan Taylor,19217,jonathan-taylor,IND,13,RB,4,7.0,6813
8,Amon-Ra St. Brown,19799,amonra-stbrown,DET,6,WR,4,7.7,7547
9,Justin Jefferson,19236,justin-jefferson,MIN,6,WR,5,10.0,6794
10,CeeDee Lamb,19202,ceedee-lamb,DAL,14,WR,6,11.3,6786
11,James Cook III,22958,james-cook,BUF,7,RB,5,11.3,8138
12,Ashton Jeanty,25989,ashton-jeanty,LV,13,RB,6,12.7,12527
13,De'Von Achane,23136,devon-achane,MIA,6,RB,7,14.0,9226
14,Saquon Barkley,17240,saquon-barkley,PHI,10,RB,8,15.0,4866
15,Brock Bowers,22955,brock-bowers,LV,13,TE,1,17.3,11604
16,Omarion Hampton,25395,omarion-hampton,LAC,7,RB,9,17.3,12507
17,Trey McBride,22936,trey-mcbride,ARI,14,TE,2,17.7,8130
18,Chase Brown,25324,chase-brown,CIN,6,RB,10,17.7,9224
19,Drake London,23163,drake-london,ATL,11,WR,7,17.7,8112
20,Kenneth Walker III,23021,kenneth-walker-rb,KC,5,RB,11,18.7,8151
21,A.J. Brown,18218,aj-brown,NE,11,WR,8,21.7,5859
22,Derrick Henry,15514,derrick-henry,BAL,13,RB,12,21.7,3198
23,Nico Collins,20130,nico-collins,HOU,8,WR,9,22.3,7569
24,Josh Allen,17298,josh-allen-qb,BUF,7,QB,1,23.0,4984
25,George Pickens,22963,george-pickens,DAL,14,WR,10,24.3,8137
26,Jeremiyah Love,25403,jeremiyah-love,ARI,14,RB,13,25.7,13287
27,Chris Olave,20111,chris-olave,NO,8,WR,11,27.3,8144
28,DeVonta Smith,19222,devonta-smith,PHI,10,WR,12,31.0,7525
29,Breece Hall,22982,breece-hall,NYJ,13,RB,14,32.0,8155
30,Kyren Williams,23059,kyren-williams,LAR,11,RB,15,32.0,8150
31,Rashee Rice,23113,rashee-rice,KC,5,WR,13,32.3,10229
32,Javonte Williams,22739,javonte-williams,DAL,14,RB,16,34.0,7588
33,Malik Nabers,25409,malik-nabers,NYG,8,WR,14,34.3,11632
34,Travis Etienne Jr.,19231,travis-etienne,NO,8,RB,17,35.0,7543
35,Colston Loveland,26006,colston-loveland,CHI,10,TE,3,36.0,12517
36,Emeka Egbuka,23062,emeka-egbuka,TB,10,WR,15,37.7,12514
37,Zay Flowers,22916,zay-flowers,BAL,13,WR,16,38.3,9997
38,Josh Jacobs,18269,josh-jacobs,GB,11,RB,18,39.0,5850
39,Tee Higgins,19211,tee-higgins,CIN,6,WR,17,39.0,6801
40,Cam Skattebo,27166,cam-skattebo,NYG,8,RB,19,40.0,12481
41,Tetairoa McMillan,25417,tetairoa-mcmillan,CAR,5,WR,18,41.3,12526
42,Garrett Wilson,23072,garrett-wilson,NYJ,13,WR,19,42.3,8146
43,Lamar Jackson,17233,lamar-jackson,BAL,13,QB,2,43.7,4881
44,Ladd McConkey,26122,ladd-mcconkey,LAC,7,WR,20,44.3,11635
45,Luther Burden III,27016,luther-burden-iii,CHI,10,WR,21,46.7,12519
46,Quinshon Judkins,25391,quinshon-judkins,CLE,11,RB,20,47.7,12512
47,DJ Moore,17265,dj-moore-wr,BUF,7,WR,22,48.3,4983
