rank,name,team,position,tier,sleeper_id
1,Josh Allen,BUF,QB,1,4984
2,Lamar Jackson,BAL,QB,1,4881
3,Drake Maye,NE,QB,1,11564
4,Joe Burrow,CIN,QB,1,6770
5,Jayden Daniels,WAS,QB,1,11566
6,Jalen Hurts,PHI,QB,1,6904
7,Jahmyr Gibbs,DET,RB,1,9221
8,Ja'Marr Chase,CIN,WR,2,7564
9,Bijan Robinson,ATL,RB,2,9509
10,Caleb Williams,CHI,QB,2,11560
11,Puka Nacua,LAR,WR,2,9493
12,Justin Herbert,LAC,QB,2,6797
13,Jaxon Smith-Njigba,SEA,WR,2,9488
14,Amon-Ra St. Brown,DET,WR,2,7547
15,Dak Prescott,DAL,QB,2,3294
16,Trevor Lawrence,JAC,QB,2,7523
17,Christian McCaffrey,SF,RB,2,4034
18,Jonathan Taylor,IND,RB,2,6813
19,CeeDee Lamb,DAL,WR,3,6786
20,Brock Purdy,SF,QB,3,8183
21,James Cook III,BUF,RB,3,8138
22,Justin Jefferson,MIN,WR,3,6794
23,Jaxson Dart,NYG,QB,3,12508
24,Bo Nix,DEN,QB,3,11563
25,Patrick Mahomes II,KC,QB,3,4046
26,Chase Brown,CIN,RB,3,9224
27,Drake London,ATL,WR,3,8112
28,A.J. Brown,NE,WR,3,5859
29,Matthew Stafford,LAR,QB,3,421
30,Saquon Barkley,PHI,RB,3,4866
31,De'Von Achane,MIA,RB,3,9226
32,Jared Goff,DET,QB,3,3163
33,Nico Collins,HOU,WR,3,7569
34,Brock Bowers,LV,TE,3,11604
35,Omarion Hampton,LAC,RB,3,12507
36,Derrick Henry,BAL,RB,3,3198
37,Kenneth Walker III,KC,RB,3,8151
38,Ashton Jeanty,LV,RB,4,12527
39,George Pickens,DAL,WR,4,8137
40,Kyler Murray,MIN,QB,4,5849
41,Chris Olave,NO,WR,4,8144
42,Trey McBride,ARI,TE,4,8130
43,Malik Nabers,NYG,WR,4,11632
44,Rashee Rice,KC,WR,4,10229
