rank,name,team,position,tier,sleeper_id
1,Jahmyr Gibbs,DET,RB,1,9221
2,Bijan Robinson,ATL,RB,1,9509
3,Ja'Marr Chase,CIN,WR,1,7564
4,Puka Nacua,LAR,WR,1,9493
5,Jaxon Smith-Njigba,SEA,WR,1,9488
6,Amon-Ra St. Brown,DET,WR,1,7547
7,Christian McCaffrey,SF,RB,1,4034
8,Jonathan Taylor,IND,RB,1,6813
9,CeeDee Lamb,DAL,WR,2,6786
10,Justin Jefferson,MIN,WR,2,6794
11,James Cook III,BUF,RB,2,8138
12,Ashton Jeanty,LV,RB,2,12527
13,Drake London,ATL,WR,2,8112
14,Chase Brown,CIN,RB,2,9224
15,A.J. Brown,NE,WR,2,5859
16,Saquon Barkley,PHI,RB,2,4866
17,Brock Bowers,LV,TE,2,11604
18,De'Von Achane,MIA,RB,2,9226
19,Nico Collins,HOU,WR,2,7569
20,Omarion Hampton,LAC,RB,2,12507
21,Derrick Henry,BAL,RB,3,3198
22,George Pickens,DAL,WR,3,8137
23,Kenneth Walker III,KC,RB,3,8151
24,Trey McBride,ARI,TE,3,8130
25,Chris Olave,NO,WR,3,8144
26,Rashee Rice,KC,WR,3,10229
27,Josh Allen,BUF,QB,3,4984
28,DeVonta Smith,PHI,WR,3,7525
29,Malik Nabers,NYG,WR,3,11632
30,Zay Flowers,BAL,WR,3,9997
31,Kyren Williams,LAR,RB,3,8150
32,Tee Higgins,CIN,WR,3,6801
33,Tetairoa McMillan,CAR,WR,3,12526
34,Jeremiyah Love,ARI,RB,3,13287
35,Lamar Jackson,BAL,QB,3,4881
36,Emeka Egbuka,TB,WR,4,12514
37,Breece Hall,NYJ,RB,4,8155
38,Josh Jacobs,GB,RB,4,5850
39,Ladd McConkey,LAC,WR,4,11635
40,Javonte Williams,DAL,RB,4,7588
41,Garrett Wilson,NYJ,WR,4,8146
42,Colston Loveland,CHI,TE,4,12517
43,Jaylen Waddle,DEN,WR,4,7526
44,Drake Maye,NE,QB,4,11564
45,Terry McLaurin,WAS,WR,4,5927
46,Travis Etienne Jr.,NO,RB,4,7543
47,Joe Burrow,CIN,QB,4,6770
48,Davante Adams,LAR,WR,4,2133
49,Luther Burden III,CHI,WR,4,12519
50,Cam Skattebo,NYG,RB,4,12481
51,D'Andre Swift,CHI,RB,4,6790
52,Bucky Irving,TB,RB,4,11584
53,Tyler Warren,IND,TE,4,12518
54,Jayden Daniels,WAS,QB,4,11566
55,Quinshon Judkins,CLE,RB,4,12512
56,Jameson Williams,DET,WR,4,8148
57,David Montgomery,HOU,RB,4,5892
58,Mike Evans,SF,WR,4,2216
59,Christian Watson,GB,WR,4,8167
60,DJ Moore,BUF,WR,4,4983
61,Rome Odunze,CHI,WR,5,11620
62,Jalen Hurts,PHI,QB,5,6904
63,TreVeyon Henderson,NE,RB,5,12529
64,Bhayshul Tuten,JAC,RB,5,12490
65,Tucker Kraft,GB,TE,5,9484
66,Jadarian Price,SEA,RB,5,13286
67,Caleb Williams,CHI,QB,5,11560
68,Carnell Tate,TEN,WR,5,13279
69,Justin Herbert,LAC,QB,5,6797
70,Parker Washington,JAC,WR,5,9487
71,Marvin Harrison Jr.,ARI,WR,5,11628
72,Jaylen Warren,PIT,RB,5,8228
73,Tony Pollard,TEN,RB,5,5967
74,Brian Thomas Jr.,JAC,WR,5,11631
75,Rhamondre Stevenson,NE,RB,5,7611
76,Sam LaPorta,DET,TE,5,10859
77,DK Metcalf,PIT,WR,5,5846
78,Trevor Lawrence,JAC,QB,5,7523
79,Dak Prescott,DAL,QB,5,3294
80,Harold Fannin Jr.,CLE,TE,5,12506
81,Kyle Pitts Sr.,ATL,TE,5,7553
82,Rico Dowdle,PIT,RB,5,7021
83,Chuba Hubbard,CAR,RB,6,7594
84,Jordyn Tyson,NO,WR,6,13281
85,Chris Godwin Jr.,TB,WR,6,4037
86,Courtland Sutton,DEN,WR,6,5045
87,Alec Pierce,IND,WR,6,8142
88,J.K. Dobbins,DEN,RB,6,6806
89,Michael Pittman Jr.,PIT,WR,6,6819
90,RJ Harvey,DEN,RB,6,12489
