rank,name,team,position,tier,sleeper_id
1,Jahmyr Gibbs,DET,RB,1,9221
2,Bijan Robinson,ATL,RB,1,9509
3,Jonathan Taylor,IND,RB,1,6813
4,James Cook III,BUF,RB,2,8138
5,Christian McCaffrey,SF,RB,2,4034
6,Derrick Henry,BAL,RB,2,3198
7,Saquon Barkley,PHI,RB,2,4866
8,Chase Brown,CIN,RB,2,9224
9,Kenneth Walker III,KC,RB,3,8151
10,De'Von Achane,MIA,RB,3,9226
11,Omarion Hampton,LAC,RB,3,12507
12,Ashton Jeanty,LV,RB,3,12527
13,Kyren Williams,LAR,RB,3,8150
14,Javonte Williams,DAL,RB,3,7588
15,Josh Jacobs,GB,RB,3,5850
16,Breece Hall,NYJ,RB,3,8155
17,Jeremiyah Love,ARI,RB,4,13287
18,Travis Etienne Jr.,NO,RB,4,7543
19,D'Andre Swift,CHI,RB,4,6790
20,Cam Skattebo,NYG,RB,4,12481
21,Quinshon Judkins,CLE,RB,4,12512
22,Bucky Irving,TB,RB,4,11584
23,David Montgomery,HOU,RB,4,5892
24,Bhayshul Tuten,JAC,RB,4,12490
25,Jadarian Price,SEA,RB,4,13286
26,TreVeyon Henderson,NE,RB,4,12529
27,Rhamondre Stevenson,NE,RB,5,7611
28,Jaylen Warren,PIT,RB,5,8228
29,Tony Pollard,TEN,RB,5,5967
30,J.K. Dobbins,DEN,RB,5,6806
31,Rico Dowdle,PIT,RB,5,7021
32,Jonathon Brooks,CAR,RB,5,11583
33,Blake Corum,LAR,RB,5,11586
34,Jacory Croskey-Merritt,WAS,RB,5,12533
35,Jordan Mason,MIN,RB,5,8408
36,Chuba Hubbard,CAR,RB,5,7594
37,Kyle Monangai,CHI,RB,5,12534
38,RJ Harvey,DEN,RB,5,12489
39,Rachaad White,WAS,RB,6,8136
40,Kenny Gainwell,TB,RB,6,7567
41,Chris Rodriguez Jr.,JAC,RB,6,10219
42,Aaron Jones Sr.,MIN,RB,6,4199
43,Tyler Allgeier,ARI,RB,6,8132
44,Woody Marks,HOU,RB,6,12474
45,Tank Bigsby,PHI,RB,6,9225
46,Keaton Mitchell,LAC,RB,6,9511
47,Zach Charbonnet,SEA,RB,6,9753
48,Jonah Coleman,DEN,RB,6,13345
49,Isiah Pacheco,DET,RB,6,8205
50,Tyjae Spears,TEN,RB,6,9508
51,Brian Robinson Jr.,ATL,RB,6,8154
52,Braelon Allen,NYJ,RB,6,11576
53,Tyrone Tracy Jr.,NYG,RB,6,11655
54,MarShawn Lloyd,GB,RB,6,11581
55,Dylan Sampson,CLE,RB,7,12469
56,Mike Washington Jr.,LV,RB,7,13305
57,Alvin Kamara,NO,RB,7,4035
58,Emmett Johnson,KC,RB,7,13337
59,Ray Davis,BUF,RB,7,11575
60,Kimani Vidal,LAC,RB,7,11647
61,Nicholas Singleton,TEN,RB,7,13288
62,Sean Tucker,TB,RB,7,9506
63,Kaytron Allen,WAS,RB,7,13405
64,Jaydon Blue,DAL,RB,7,12457
65,Emanuel Wilson,SEA,RB,7,11435
66,James Conner,ARI,RB,7,4137
67,Jaylen Wright,MIA,RB,7,11643
68,George Holani,SEA,RB,7,12048
69,Kaelon Black,SF,RB,7,13414
70,Ollie Gordon II,MIA,RB,7,12495
71,Isaiah Davis,NYJ,RB,8,11571
72,Justice Hill,BAL,RB,8,5995
73,Demond Claiborne,MIN,RB,8,13347
74,Samaje Perine,CIN,RB,8,4147
75,Jordan James,SF,RB,8,12467
76,Chris Brooks,GB,RB,8,11370
77,Najee Harris,NYG,RB,8,7528
78,Malik Davis,DAL,RB,8,8800
79,Ty Johnson,BUF,RB,8,6039
80,LeQuint Allen Jr.,JAC,RB,8,12544
81,DJ Giddens,IND,RB,8,12471
82,Seth McGowan,IND,RB,8,13424
83,Devin Neal,NO,RB,8,12476
84,Kendre Miller,NO,RB,8,9757
85,Emari Demercado,KC,RB,8,11199
86,Adam Randall,BAL,RB,8,13302
87,Devin Singletary,NYG,RB,8,6130
88,Brashard Smith,KC,RB,8,12455
89,Kaleb Johnson,PIT,RB,8,12504
90,Trey Benson,ARI,RB,8,11589
